State Name	Gross State Product	Nicknames
Arizona	$259 billion	The Grand Canyon State;The Copper State;The Valentine State
California	$3.0 trillion	The Golden State
Vermont	$19.3 billion	The Green Mountain State
Nevada	$170 billion	The Silver State (official);Sagebrush State;Battle Born State
New Jersey	$639.8 billion	The Garden State
Idaho	$64.9 billion	Gem State
Maryland	$382.4 billion	Old Line State
Pennsylvania	$803 billion	Keystone State;Quaker State
Florida	$1.0 trillion	The Sunshine State
North Carolina	$496 billion	Old North State;Tar Heel State
